,Types,Class
0,Breast,1.0
1,Breast,1.0
2,Breast,1.0
3,Breast,1.0
4,Breast,1.0
5,Breast,1.0
6,Breast,1.0
7,Breast,1.0
8,Breast,1.0
9,Breast,1.0
10,Breast,1.0
11,Breast,1.0
12,Breast,1.0
13,Breast,1.0
14,Breast,1.0
15,Breast,1.0
16,Breast,1.0
17,Breast,1.0
18,Breast,1.0
19,Breast,1.0
20,Breast,1.0
21,Breast,1.0
22,Breast,1.0
23,Breast,1.0
24,Breast,1.0
25,Breast,1.0
26,Breast,1.0
27,Breast,1.0
28,Breast,1.0
29,Breast,1.0
30,Breast,1.0
31,Breast,0.0
32,Breast,1.0
33,Breast,1.0
34,Breast,1.0
35,Breast,1.0
36,Breast,1.0
37,Breast,1.0
38,Breast,0.0
39,Breast,1.0
40,Breast,1.0
41,Breast,0.0
42,Breast,1.0
43,Breast,1.0
44,Breast,1.0
45,Breast,0.0
46,Breast,0.0
47,Breast,0.0
48,Breast,0.0
49,Breast,0.0
50,Breast,0.0
51,Breast,1.0
52,Breast,1.0
53,Breast,1.0
54,Breast,1.0
55,Breast,1.0
56,Breast,1.0
57,Breast,0.0
58,Breast,0.0
59,Breast,0.0
60,Breast,0.0
61,Breast,0.0
62,Breast,0.0
63,Breast,0.0
64,Breast,0.0
65,Breast,0.0
66,Breast,0.0
67,Breast,0.0
68,Breast,0.0
69,Breast,0.0
70,Breast,0.0
71,Breast,0.0
72,Breast,0.0
73,Breast,1.0
74,Breast,1.0
75,Breast,1.0
76,Breast,1.0
77,Breast,0.0
78,Breast,1.0
79,Breast,0.0
80,Breast,0.0
81,Breast,1.0
82,Breast,1.0
83,Breast,0.0
84,Breast,0.0
85,Breast,0.0
86,Breast,0.0
87,Breast,0.0
88,Breast,0.0
89,Breast,0.0
90,Breast,0.0
91,Breast,0.0
92,Breast,0.0
93,Breast,1.0
94,Breast,1.0
95,Breast,1.0
96,Breast,1.0
97,Breast,1.0
98,Breast,1.0
99,Breast,1.0
100,Breast,1.0
101,Breast,1.0
102,Breast,1.0
103,Breast,0.0
104,Breast,0.0
105,Breast,0.0
106,Breast,0.0
107,Breast,0.0
108,Breast,0.0
109,Breast,0.0
110,Breast,0.0
111,Breast,0.0
112,Breast,1.0
113,Breast,1.0
114,Breast,1.0
115,Breast,1.0
116,Breast,1.0
117,Breast,0.0
118,Breast,0.0
119,Breast,1.0
120,Breast,1.0
121,Breast,1.0
122,Breast,1.0
123,Breast,0.0
124,Breast,0.0
125,Breast,0.0
126,Breast,0.0
127,Breast,0.0
128,Breast,0.0
129,Breast,0.0
130,Breast,0.0
131,Breast,0.0
132,Breast,0.0
133,Breast,0.0
134,Breast,0.0
135,Breast,0.0
136,Breast,0.0
137,Breast,0.0
138,Breast,0.0
139,Breast,0.0
140,Breast,0.0
141,Breast,1.0
142,Breast,1.0
143,Breast,1.0
144,Breast,1.0
145,Breast,1.0
146,Breast,1.0
147,Breast,1.0
148,Breast,0.0
149,Breast,0.0
150,Breast,0.0
151,Breast,0.0
152,Breast,0.0
153,Breast,1.0
154,Breast,1.0
155,Breast,1.0
156,Breast,1.0
157,Breast,1.0
158,Breast,0.0
159,Breast,0.0
160,Breast,0.0
161,Breast,0.0
162,Breast,0.0
163,Breast,0.0
164,Breast,0.0
165,Breast,0.0
166,Breast,0.0
167,Breast,0.0
168,Breast,0.0
169,Breast,0.0
170,Breast,0.0
171,Breast,0.0
172,Breast,1.0
173,Breast,1.0
174,Breast,0.0
175,Breast,0.0
176,Breast,0.0
177,Breast,0.0
178,Breast,0.0
179,Breast,0.0
180,Breast,1.0
181,Breast,1.0
182,Breast,1.0
183,Breast,0.0
184,Breast,0.0
185,Breast,0.0
186,Breast,0.0
187,Breast,0.0
188,Breast,0.0
189,Breast,0.0
190,Breast,0.0
191,Breast,0.0
192,Breast,0.0
193,Breast,0.0
194,Breast,1.0
195,Breast,1.0
196,Breast,1.0
197,Breast,1.0
198,Breast,1.0
199,Breast,1.0
200,Breast,0.0
201,Breast,0.0
202,Breast,0.0
203,Breast,0.0
204,Breast,0.0
205,Breast,0.0
206,Breast,0.0
207,Breast,0.0
208,Breast,0.0
209,Breast,0.0
210,Breast,0.0
211,Breast,0.0
212,Breast,0.0
213,Breast,0.0
214,Breast,0.0
215,Breast,0.0
216,Breast,0.0
217,Breast,0.0
218,Breast,0.0
219,Breast,0.0
220,Breast,0.0
221,Breast,0.0
222,Breast,0.0
223,Breast,0.0
224,Breast,0.0
225,Breast,0.0
226,Breast,0.0
227,Breast,0.0
228,Breast,0.0
229,Breast,0.0
230,Breast,0.0
231,Breast,0.0
232,Breast,0.0
233,Breast,0.0
234,Breast,1.0
235,Breast,1.0
236,Breast,0.0
237,Breast,1.0
238,Breast,1.0
239,Breast,0.0
240,Breast,0.0
241,Breast,0.0
242,Breast,0.0
243,Breast,0.0
244,Breast,0.0
245,Breast,0.0
246,Breast,0.0
247,Breast,0.0
248,Breast,0.0
249,Breast,0.0
250,Breast,0.0
251,Breast,0.0
252,Breast,0.0
253,Breast,0.0
254,Breast,0.0
255,Breast,0.0
256,Breast,0.0
257,Breast,0.0
258,Breast,0.0
259,Breast,0.0
260,Breast,0.0
261,Breast,1.0
262,Breast,1.0
263,Breast,1.0
264,Breast,1.0
265,Breast,1.0
266,Breast,1.0
267,Breast,1.0
268,Breast,1.0
269,Breast,1.0
270,Breast,1.0
271,Breast,0.0
272,Breast,1.0
273,Breast,1.0
274,Breast,1.0
275,Breast,1.0
276,Breast,1.0
277,Breast,1.0
278,Breast,1.0
279,Breast,0.0
280,Breast,0.0
281,Breast,0.0
282,Breast,0.0
283,Breast,1.0
284,Breast,1.0
285,Breast,1.0
286,Breast,1.0
287,Breast,1.0
288,Breast,0.0
289,Breast,0.0
290,Breast,1.0
291,Breast,0.0
292,Breast,1.0
293,Breast,0.0
294,Breast,0.0
295,Breast,0.0
296,Breast,1.0
297,Breast,0.0
298,Breast,1.0
299,Breast,1.0
300,Breast,1.0
301,Breast,1.0
302,Breast,1.0
303,Breast,1.0
304,Breast,0.0
305,Breast,0.0
306,Breast,1.0
307,Breast,1.0
308,Breast,1.0
309,Breast,1.0
310,Breast,1.0
311,Breast,0.0
312,Breast,0.0
313,Breast,0.0
314,Breast,0.0
315,Breast,0.0
316,Breast,0.0
317,Breast,0.0
318,Breast,0.0
319,Breast,0.0
320,Breast,0.0
321,Breast,0.0
322,Breast,1.0
323,Breast,1.0
324,Breast,1.0
325,Breast,1.0
326,Breast,1.0
327,Breast,1.0
328,Breast,1.0
329,Breast,1.0
330,Breast,1.0
331,Breast,1.0
332,Breast,1.0
333,Breast,1.0
334,Breast,1.0
335,Breast,0.0
336,Breast,1.0
337,Breast,1.0
338,Breast,1.0
339,Breast,1.0
340,Breast,1.0
341,Breast,1.0
342,Breast,0.0
343,Breast,0.0
344,Breast,0.0
345,Breast,0.0
346,Breast,1.0
347,Breast,1.0
348,Breast,1.0
349,Breast,1.0
350,Breast,1.0
351,Breast,1.0
352,Breast,1.0
353,Breast,1.0
354,Breast,1.0
355,Breast,1.0
356,Breast,1.0
357,Breast,1.0
358,Breast,1.0
359,Breast,1.0
360,Breast,1.0
361,Breast,1.0
362,Breast,1.0
363,Breast,1.0
364,Breast,1.0
365,Breast,1.0
366,Breast,1.0
367,Breast,1.0
368,Breast,1.0
369,Breast,1.0
370,Breast,1.0
371,Breast,1.0
372,Breast,1.0
373,Breast,1.0
374,Breast,1.0
375,Breast,1.0
376,Breast,1.0
377,Breast,1.0
378,Breast,1.0
379,Breast,1.0
380,Breast,1.0
381,Breast,1.0
382,Breast,1.0
383,Breast,1.0
384,Breast,1.0
385,Breast,1.0
386,Breast,1.0
387,Breast,1.0
388,Breast,1.0
389,Breast,1.0
390,Breast,1.0
391,Breast,1.0
392,Breast,1.0
393,Breast,1.0
394,Breast,1.0
395,Breast,0.0
396,Breast,0.0
397,Breast,0.0
398,Breast,1.0
399,Breast,1.0
400,Breast,1.0
401,Breast,1.0
402,Breast,1.0
403,Breast,0.0
404,Breast,1.0
405,Breast,1.0
406,Breast,1.0
407,Breast,1.0
408,Breast,1.0
409,Breast,1.0
410,Breast,1.0
411,Breast,1.0
412,Breast,0.0
413,Breast,1.0
414,Breast,1.0
415,Breast,1.0
416,Breast,1.0
417,Breast,1.0
418,Breast,0.0
419,Breast,1.0
420,Breast,1.0
421,Breast,1.0
422,Breast,1.0
423,Breast,1.0
424,Breast,1.0
425,Breast,1.0
426,Breast,1.0
427,Breast,1.0
428,Breast,1.0
429,Breast,1.0
430,Breast,1.0
431,Breast,1.0
432,Breast,1.0
433,Breast,1.0
434,Breast,1.0
435,Breast,1.0
436,Breast,1.0
437,Breast,1.0
438,Breast,1.0
439,Breast,1.0
440,Breast,1.0
441,Breast,0.0
442,Breast,1.0
443,Breast,1.0
444,Breast,1.0
445,Breast,0.0
446,Breast,1.0
447,Breast,1.0
448,Breast,1.0
449,Breast,1.0
450,Breast,1.0
451,Breast,1.0
452,Breast,1.0
453,Breast,1.0
454,Breast,1.0
455,Breast,1.0
456,Breast,0.0
457,Breast,1.0
458,Breast,1.0
459,Breast,1.0
460,Breast,1.0
461,Breast,1.0
462,Breast,0.0
463,Breast,1.0
464,Breast,1.0
465,Breast,0.0
466,Breast,1.0
467,Breast,1.0
468,Breast,0.0
469,Breast,1.0
470,Breast,1.0
471,Breast,1.0
472,Breast,0.0
473,Breast,1.0
474,Breast,0.0
475,Breast,1.0
476,Breast,1.0
477,Breast,1.0
478,Breast,1.0
479,Breast,1.0
480,Breast,1.0
481,Breast,1.0
482,Breast,0.0
483,Breast,1.0
484,Breast,1.0
485,Breast,1.0
486,Breast,1.0
487,Breast,1.0
488,Breast,1.0
489,Breast,1.0
490,Breast,1.0
491,Breast,1.0
492,Breast,1.0
493,Breast,1.0
494,Breast,1.0
495,Breast,1.0
496,Breast,1.0
497,Breast,1.0
498,Breast,1.0
499,Breast,1.0
500,Breast,1.0
501,Breast,0.0
502,Breast,1.0
503,Breast,0.0
504,Breast,1.0
505,Breast,1.0
506,Breast,1.0
507,Breast,1.0
508,Breast,1.0
509,Breast,1.0
510,Breast,1.0
511,Breast,1.0
512,Breast,1.0
513,Breast,1.0
514,Breast,1.0
515,Breast,1.0
516,Breast,1.0
517,Breast,1.0
518,Breast,1.0
519,Breast,1.0
520,Breast,1.0
521,Breast,1.0
522,Breast,1.0
523,Breast,1.0
524,Breast,1.0
525,Breast,1.0
526,Breast,1.0
527,Breast,1.0
528,Breast,1.0
529,Breast,1.0
530,Breast,1.0
531,Breast,1.0
532,Breast,1.0
533,Breast,1.0
534,Breast,1.0
535,Breast,1.0
536,Breast,1.0
537,Breast,0.0
538,Breast,0.0
539,Breast,0.0
540,Breast,1.0
541,Breast,0.0
542,Breast,1.0
543,Breast,1.0
544,Breast,1.0
545,Breast,1.0
546,Breast,1.0
547,Breast,1.0
548,Breast,1.0
549,Breast,1.0
550,Breast,1.0
551,Breast,1.0
552,Breast,1.0
553,Breast,1.0
554,Breast,1.0
555,Breast,1.0
556,Breast,1.0
557,Breast,1.0
558,Breast,1.0
559,Breast,1.0
560,Breast,1.0
561,Breast,1.0
562,Breast,1.0
563,Breast,1.0
564,Breast,1.0
565,Breast,0.0
566,Breast,0.0
567,Breast,0.0
568,Breast,0.0
569,Breast,0.0
570,Breast,0.0
571,Breast,0.0
572,Breast,0.0
573,Breast,0.0
574,Breast,0.0
575,Breast,1.0
576,Breast,1.0
577,Breast,1.0
578,Breast,1.0
579,Breast,1.0
580,Breast,1.0
581,Breast,1.0
582,Breast,0.0
583,Breast,0.0
584,Breast,0.0
585,Breast,1.0
586,Breast,0.0
587,Breast,1.0
588,Breast,1.0
589,Breast,1.0
590,Breast,1.0
591,Breast,1.0
592,Breast,1.0
593,Breast,1.0
594,Breast,1.0
595,Breast,1.0
596,Breast,1.0
597,Breast,1.0
598,Breast,1.0
599,Breast,1.0
600,Breast,1.0
601,Breast,1.0
602,Breast,1.0
603,Breast,1.0
604,Breast,0.0
605,Breast,1.0
606,Breast,1.0
607,Breast,1.0
608,Breast,1.0
609,Breast,1.0
610,Breast,1.0
611,Breast,1.0
612,Breast,1.0
613,Breast,1.0
614,Breast,1.0
615,Breast,1.0
616,Breast,1.0
617,Breast,1.0
618,Breast,1.0
619,Breast,1.0
620,Breast,0.0
621,Breast,0.0
622,Breast,0.0
623,Breast,0.0
624,Breast,0.0
625,Breast,0.0
626,Breast,0.0
627,Breast,1.0
628,Breast,1.0
